,train,val,test
0029553565,True,False,False
0030657581,True,False,False
0035146620,True,False,False
0051341579,True,False,False
DigitalSlide_C10M_12S_1,True,False,False
DigitalSlide_C10M_1S_1,True,False,False
DigitalSlide_C10M_2S_1,True,False,False
DigitalSlide_C10M_3S_1,True,False,False
DigitalSlide_E10M_7S_1_20210914145322714,True,False,False
DigitalSlide_B2M_1S_1_20210826183728179,True,False,False
DigitalSlide_B2M_3S_1_20210826183921228,True,False,False
DigitalSlide_B2M_5S_1_20210826184054251,True,False,False
DigitalSlide_B2M_6S_1_20210826184158873,True,False,False
DigitalSlide_B2M_7S_1_20210826184304020,True,False,False
DigitalSlide_B2M_8S_1_20210826184401956,True,False,False
DigitalSlide_B2M_9S_1_20210826184515465,True,False,False
DigitalSlide_D4M_1S_1_20210922131645990,True,False,False
DigitalSlide_D4M_2S_1_20210922131740429,True,False,False
DigitalSlide_E6M_15S_1,True,False,False
0049547258,True,False,False
0049556653,True,False,False
0050394746,True,False,False
0057134497,True,False,False
BB150007349-A-01-001,True,False,False
DigitalSlide_B9M_6S_1,True,False,False
DigitalSlide_B9M_7S_1,True,False,False
DigitalSlide_B9M_8S_1,True,False,False
DigitalSlide_E6M_20S_1,True,False,False
0042034876,True,False,False
0042951302,True,False,False
0047176089,True,False,False
0047953852,True,False,False
0054130784,True,False,False
0054815807,True,False,False
0058263272,True,False,False
DigitalSlide_B9M_11S_1,True,False,False
DigitalSlide_B9M_14S_1,True,False,False
DigitalSlide_B9M_16S_1,True,False,False
0055483886,False,True,False
DigitalSlide_C10M_9S_1,False,True,False
DigitalSlide_B2M_11S_1_20210826183548302,False,True,False
DigitalSlide_B2M_12S_1_20210826183648767,False,True,False
0029468706,False,True,False
0048086809,False,True,False
0063610642,False,True,False
0046877280,False,True,False
30,False,False,True
DigitalSlide_E6M_17S_1,False,False,True
DigitalSlide_B2M_4S_1_20210826184014839,False,False,True
0063366529,False,False,True
DigitalSlide_C10M_19S_1,False,False,True
B-160004549-01-B-001,False,False,True
0042711961,False,False,True
0059072087,False,False,True
